Symbol,Date,Close,High,Low,Open,Volume
IBM,2017-05-26,152.49,153.0,152.06,152.85,2443363
IBM,2017-05-29,152.49,152.49,152.49,152.49,0
IBM,2017-05-30,151.73,152.67,151.59,151.95,3666032
IBM,2017-05-31,152.63,152.8,151.65,152.03,3543404
IBM,2017-06-01,152.67,152.87,151.63,152.8,2918122
IBM,2017-06-02,152.05,153.2,151.8,153.07,3585701
IBM,2017-06-05,152.41,152.93,151.6826,151.82,3975068
IBM,2017-06-06,152.37,152.89,152.0,152.0,3797173
IBM,2017-06-07,150.98,154.2,150.8,153.05,4862960
IBM,2017-06-08,152.1,152.82,150.92,151.0,3708962
IBM,2017-06-09,154.1,154.265,151.88,152.0,4361174
IBM,2017-06-12,155.18,157.2,154.02,154.19,6470545
IBM,2017-06-13,154.25,155.48,154.15,155.44,3523529
IBM,2017-06-14,153.81,154.9399,152.94,153.97,3049724
IBM,2017-06-15,154.22,154.69,153.29,153.29,4654197
IBM,2017-06-16,155.38,155.42,152.9676,154.23,6741763
IBM,2017-06-19,154.84,155.86,154.54,155.51,4629492
IBM,2017-06-20,154.95,155.389,154.25,154.48,4481805
IBM,2017-06-21,153.79,155.79,153.39,155.79,3959414
IBM,2017-06-22,154.4,154.99,153.69,154.55,2376481
IBM,2017-06-23,154.11,154.68,153.8,154.34,3282201
IBM,2017-06-26,155.23,155.75,154.63,154.71,2153343
IBM,2017-06-27,154.75,155.34,154.5,155.0,2386491
IBM,2017-06-28,155.32,155.55,154.78,155.15,2217329
IBM,2017-06-29,154.13,155.74,153.62,155.35,3262159
IBM,2017-06-30,153.83,154.5,153.14,154.28,3571536
IBM,2017-07-03,155.58,156.025,153.52,153.58,2822651
IBM,2017-07-04,155.58,155.58,155.58,155.58,0
IBM,2017-07-05,153.67,155.89,153.63,155.77,3564354
IBM,2017-07-06,152.36,153.83,152.23,153.36,2757522
IBM,2017-07-07,152.94,153.49,152.14,152.62,2460060
IBM,2017-07-10,153.42,153.89,152.63,152.91,3206209
IBM,2017-07-11,153.19,153.65,152.05,153.26,3447509
IBM,2017-07-12,153.7,154.24,153.05,153.48,3097850
IBM,2017-07-13,153.63,154.19,153.19,153.7,2476112
IBM,2017-07-14,154.24,154.615,153.4,154.01,3256218
IBM,2017-07-17,153.01,153.88,152.2399,153.59,4761245
IBM,2017-07-18,154.0,154.29,152.0,152.36,7524443
IBM,2017-07-19,147.53,150.25,146.71,150.02,14292355
IBM,2017-07-20,147.66,148.83,147.03,147.53,7211974
IBM,2017-07-21,147.08,147.87,146.51,147.59,6509459
IBM,2017-07-24,145.99,147.04,145.8,147.0,3877310
IBM,2017-07-25,146.19,147.49,146.03,146.57,4208850
IBM,2017-07-26,145.36,146.46,144.47,146.27,3932331
IBM,2017-07-27,145.07,145.395,143.64,145.0,6430508
IBM,2017-07-28,144.29,145.04,143.84,144.81,3054710
IBM,2017-07-31,144.67,144.93,144.17,144.38,4355507
IBM,2017-08-01,145.3,145.67,144.72,145.0,3219325
IBM,2017-08-02,144.45,145.29,144.22,145.12,3539739
IBM,2017-08-03,144.94,145.34,144.43,144.43,3035213
IBM,2017-08-04,145.16,145.39,144.4,145.0,2549397
IBM,2017-08-07,143.47,145.09,142.75,145.0,4617942
IBM,2017-08-08,142.11,142.76,142.0,142.0,3297788
IBM,2017-08-09,141.77,142.03,141.19,141.75,2925706
IBM,2017-08-10,141.84,142.42,141.23,141.64,4525159
IBM,2017-08-11,141.84,142.59,141.52,142.45,3004210
IBM,2017-08-14,142.32,142.76,141.94,142.0,2248107
IBM,2017-08-15,142.07,143.34,140.58,142.55,4681545
IBM,2017-08-16,142.5,142.91,141.61,141.79,3287556
